,Decibels,Location,Latitude,Longitude,Volume Category
187,93.783371,"[u'-73.994463,', u'40.71471,']",40.71471,-73.994463,Loud: > 90 decibles
188,91.817253,"[u'-73.994778,', u'40.715374,']",40.71537,-73.994778,Loud: > 90 decibles
189,87.88266,"[u'-73.994609,', u'40.71564,']",40.71564,-73.994609,Moderate: 85 to 90 decibles
190,83.208252,"[u'-73.994455,', u'40.715687,']",40.71568,-73.994455,Quiet: < 85 decibles
191,85.388336,"[u'-73.994746,', u'40.715917,']",40.71591,-73.994746,Moderate: 85 to 90 decibles
192,90.37484,"[u'-73.99483,', u'40.716194,']",40.71619,"-73.99483,",Loud: > 90 decibles
193,87.253685,"[u'-73.994652,', u'40.716613,']",40.71661,-73.994652,Moderate: 85 to 90 decibles
194,84.268265,"[u'-73.994494,', u'40.716876,']",40.71687,-73.994494,Quiet: < 85 decibles
195,86.67881,"[u'-73.994286,', u'40.717226,']",40.71722,-73.994286,Moderate: 85 to 90 decibles
196,90.053627,"[u'-73.994157,', u'40.717527,']",40.71752,-73.994157,Loud: > 90 decibles
197,87.458061,"[u'-73.993977,', u'40.717856,']",40.71785,-73.993977,Moderate: 85 to 90 decibles
198,90.20546,"[u'-73.993769,', u'40.718211,']",40.71821,-73.993769,Loud: > 90 decibles
199,88.378654,"[u'-73.993525,', u'40.718698,']",40.71869,-73.993525,Moderate: 85 to 90 decibles
200,87.273247,"[u'-73.993235,', u'40.719193,']",40.71919,-73.993235,Moderate: 85 to 90 decibles
201,86.327408,"[u'-73.993041,', u'40.719481,']",40.71948,-73.993041,Moderate: 85 to 90 decibles
202,88.032692,"[u'-73.992932,', u'40.719755,']",40.71975,-73.992932,Moderate: 85 to 90 decibles
203,86.168365,"[u'-73.992853,', u'40.71993,']",40.71993,-73.992853,Moderate: 85 to 90 decibles
204,90.584152,"[u'-73.992652,', u'40.720324,']",40.72032,-73.992652,Loud: > 90 decibles
